ts,hr,spo2,temp,red,ir,green,battery
1761033543807,95,99,37,334,870,283,58
1761033543825,90,98,36.82,938,86,589,88
1761033543845,94,98,36.42,601,658,15,63
1761033543866,85,97,36.77,248,952,67,71
1761033543886,78,99,36.2,239,537,308,80
1761033543906,100,96,36.07,303,583,927,55
1761033543926,72,100,37.15,127,419,42,77
1761033543946,67,99,36.15,575,293,716,69
1761033543967,64,95,36.04,997,336,953,54
1761033543985,61,99,36.04,464,976,892,50
1761033544006,98,99,36.59,237,290,286,65
1761033544026,65,99,36.69,359,480,692,92
1761033544046,75,96,36.95,823,475,511,72
1761033544065,80,97,36.96,391,264,643,89
1761033544086,76,95,36.38,974,801,591,94
1761033544106,70,96,36.74,518,973,539,77
1761033544126,83,99,36.13,117,800,681,69
1761033544146,94,99,36.4,414,72,799,72
1761033544166,86,97,36.41,920,193,309,93
1761033544186,67,98,36.51,163,467,46,80
1761033544206,89,95,36.77,952,80,359,61
1761033544226,74,96,36.23,749,782,59,92
1761033544247,65,95,36.86,297,514,685,59
1761033544266,74,97,36.61,516,471,374,65
1761033544286,83,97,36.54,978,385,771,54
1761033544306,71,97,36.72,767,96,726,78
1761033544325,75,99,36.94,860,166,682,64
1761033544347,66,95,36.84,417,829,726,80
1761033544366,93,96,36.16,951,240,495,58
1761033544386,78,96,36.97,213,792,774,61
1761033544406,88,96,37,897,696,644,59
1761033544426,91,99,36.44,760,796,568,51
1761033544446,93,97,36.39,277,89,531,87
1761033544466,74,100,36.65,181,318,404,66
1761033544486,98,96,36.3,24,496,373,87
1761033544507,93,100,36.11,259,925,414,65
1761033544526,85,98,36.02,864,973,746,89
1761033544546,81,100,36.24,68,449,325,61
1761033544566,84,97,36.42,478,88,186,72
1761033544586,82,97,36.08,55,896,642,96
1761033544606,96,97,37.1,835,115,521,79
1761033544626,80,99,36.07,692,735,498,61
1761033544646,70,98,36.71,101,949,681,81
1761033544666,87,96,36.54,142,1,665,81
1761033544686,94,97,36.07,734,345,625,74
1761033544706,73,95,36.98,923,344,590,70
1761033544726,80,96,36.21,747,689,705,94
1761033544746,99,96,37.17,58,72,909,63
1761033544766,89,96,36.9,953,325,275,92
1761033544786,76,100,36.42,745,105,953,75
1761033544807,62,99,36.18,526,312,370,99
1761033544825,62,98,36.86,710,969,885,63
1761033544846,92,97,36.72,346,850,198,62
1761033544866,93,96,37.09,396,253,576,56
1761033544886,66,99,36.94,322,527,770,73
1761033544906,66,98,36.17,834,748,487,81
1761033544926,69,96,36.52,927,536,457,54
1761033544947,93,100,36.83,258,857,919,98
1761033544966,63,99,36.29,152,935,15,63
1761033544986,64,96,36.69,867,25,868,91
1761033545006,67,99,36.69,223,859,444,89
1761033545026,91,95,36.85,530,762,214,82
1761033545046,78,97,36.84,10,222,923,69
1761033545066,74,96,36.04,485,21,129,75
1761033545086,94,99,37.03,282,536,776,88
1761033545106,65,98,36.79,132,94,199,94
1761033545126,86,97,36.97,108,368,254,57
1761033545146,71,100,36.39,806,136,1,89
1761033545166,73,99,36.6,868,223,195,71
1761033545186,88,99,36.27,689,993,416,78
1761033545206,96,100,36.85,941,813,190,61
1761033545226,72,96,36.23,621,400,309,96
1761033545246,69,98,36.76,61,241,298,85
1761033545266,90,97,36.51,657,738,570,94
1761033545286,81,97,36.46,68,396,378,65
1761033545306,76,95,36.85,381,189,104,87
1761033545326,97,96,36.44,654,739,838,71
1761033545345,64,97,36.09,463,753,265,96
1761033545366,86,95,36.67,238,458,286,66
1761033545386,99,100,36.81,972,619,40,76
1761033545406,87,96,36.54,618,38,945,80
1761033545426,61,96,36.37,79,683,910,69
1761033545446,80,98,36.51,905,510,633,63
1761033545466,91,97,36.46,667,525,676,60
1761033545486,70,95,36.8,12,641,845,55
1761033545505,88,100,36.53,671,283,601,73
1761033545527,86,95,37.02,532,596,637,61
1761033545546,69,96,37.09,491,429,831,82
1761033545566,61,100,36.3,895,144,674,99
1761033545585,86,96,37.08,922,609,126,70
1761033545606,68,97,36.39,429,621,125,60
1761033545626,84,97,36.08,400,414,380,86
1761033545646,74,97,36.12,984,193,393,52
1761033545666,74,100,36.15,561,29,965,79
1761033545686,98,99,36.78,601,454,497,62
1761033545706,71,96,36.14,237,382,804,94
1761033545726,61,99,37.01,631,961,425,98
1761033545746,97,98,37.01,338,221,84,57
1761033545766,88,96,36.94,555,715,199,80
1761033545786,81,100,37.11,394,154,608,84
1761033545806,64,100,37.05,394,597,812,84
1761033545827,88,95,36.57,634,587,747,77
1761033545846,86,98,36.8,796,39,333,55
1761033545866,60,97,36.29,486,966,400,79
1761033545886,80,97,36.53,767,486,700,67
1761033545906,83,95,36.87,167,728,487,58
1761033545926,67,100,36.66,224,873,333,82
1761033545945,72,95,36.42,852,541,724,86
1761033545966,80,98,37.02,305,490,594,77
1761033545985,94,99,37.1,205,257,861,70
1761033546006,78,97,36.41,688,575,155,80
1761033546026,61,97,36.04,921,172,328,64
1761033546046,92,96,36.25,600,361,564,69
1761033546065,77,100,36.97,660,926,459,84
1761033546086,72,97,36.47,725,543,306,76
1761033546106,64,95,36.66,753,763,214,83
1761033546126,73,100,36.1,523,978,856,52
1761033546146,89,99,36.33,41,496,78,85
1761033546166,77,99,36.22,590,236,917,85
1761033546186,65,98,36.09,153,260,699,84
