ts,hr,spo2,temp,red,ir,green,battery
1761033546190,67,97,36.86,290,248,69,95
1761033546210,65,100,36.01,631,643,889,81
1761033546230,93,97,37.2,780,270,921,59
1761033546250,78,98,36.41,385,744,17,96
1761033546270,67,99,36.82,872,185,212,52
1761033546290,81,97,36.81,13,222,846,62
1761033546310,66,96,36.81,467,712,481,93
1761033546331,97,99,36.54,441,671,104,74
1761033546349,99,99,36.21,714,309,33,63
1761033546370,96,97,36.27,370,695,358,54
1761033546389,79,100,36.05,668,833,466,64
1761033546410,61,100,36.86,980,604,738,56
1761033546430,60,98,36.77,437,175,642,56
1761033546450,85,97,36.45,374,588,813,57
1761033546470,66,98,36.18,747,554,804,68
1761033546490,73,96,36.11,439,203,701,51
1761033546511,76,99,36.87,621,101,236,59
1761033546529,74,97,36.06,751,264,650,60
1761033546550,96,96,36.81,220,256,403,85
1761033546570,61,98,36.34,464,294,105,91
1761033546589,77,98,36.01,968,407,473,71
1761033546609,73,99,36.75,754,795,447,80
1761033546630,61,96,36.06,204,280,132,60
1761033546650,96,100,37.17,205,406,770,81
1761033546670,65,98,36.1,141,522,328,50
1761033546690,71,98,36.04,36,143,465,83
1761033546710,69,100,36.51,312,165,596,65
1761033546730,91,100,36.31,89,463,929,56
1761033546749,91,98,36.47,337,412,654,61
1761033546770,90,98,36.68,250,799,827,89
1761033546790,79,98,36.77,577,107,610,93
1761033546810,68,97,36.7,906,869,71,72
1761033546830,91,97,36.02,42,660,485,68
1761033546850,80,98,36.99,302,38,241,59
1761033546870,69,95,36.57,544,109,116,90
1761033546889,81,96,36.68,150,985,781,54
1761033546910,95,96,36.83,581,408,33,82
1761033546930,87,98,36.95,89,678,667,66
1761033546950,76,99,36.35,6,822,955,69
1761033546970,97,96,36.72,4,190,393,87
1761033546990,78,95,36.28,602,889,64,55
1761033547010,76,98,36.28,831,444,796,78
1761033547030,86,97,37.07,327,96,614,91
1761033547050,88,98,36.89,597,200,981,94
1761033547070,85,97,36.67,100,300,803,97
1761033547090,80,98,37.06,392,128,133,98
1761033547110,62,99,37.09,258,877,437,52
1761033547130,74,98,36.21,443,515,216,51
1761033547150,73,100,36.42,818,507,576,68
1761033547170,74,98,36.49,927,157,881,63
1761033547189,100,97,36.75,390,60,551,63
1761033547210,91,96,36.44,113,318,572,97
1761033547230,89,99,36.34,804,302,20,59
1761033547250,85,99,36.56,698,278,692,76
1761033547270,98,98,37.15,481,965,518,78
1761033547290,99,97,36.14,338,307,683,98
1761033547310,82,96,36.44,332,875,754,62
1761033547330,75,99,36.23,393,543,924,97
1761033547350,90,99,36.11,640,820,394,59
1761033547370,88,98,36.08,886,682,691,65
1761033547390,89,97,36.05,791,948,210,72
1761033547410,76,95,36.93,182,798,546,60
1761033547430,86,98,36,579,554,284,63
1761033547450,75,96,37.12,916,567,980,61
1761033547470,70,98,36.3,852,966,662,60
1761033547490,78,97,36.84,846,952,414,57
1761033547510,66,98,36.03,566,745,955,93
1761033547530,60,99,36.29,124,885,181,77
1761033547550,73,100,36.84,748,438,390,97
1761033547569,91,97,36.95,203,463,807,78
1761033547589,79,96,36.74,210,596,571,87
1761033547609,65,95,36.49,121,203,580,80
1761033547629,77,98,37.2,25,224,54,82
1761033547649,91,95,36.28,629,6,434,76
1761033547670,73,98,36.05,198,620,829,70
1761033547690,62,100,36.75,219,414,227,63
