ts,hr,spo2,temp,red,ir,green,battery
1761033541779,85,96,36.21,239,735,817,75
1761033541798,79,100,37.03,391,720,526,61
1761033541817,64,99,37.15,150,992,279,76
1761033541838,69,98,36.77,648,853,274,76
1761033541858,77,100,36.32,256,157,192,87
1761033541878,73,98,36.73,931,103,278,58
1761033541898,88,100,36.4,772,974,841,83
1761033541918,85,99,36.5,817,375,969,70
1761033541938,85,97,36.5,325,496,896,78
1761033541958,74,100,36,324,302,887,97
1761033541978,79,99,36.28,437,947,841,91
1761033541997,81,97,36.98,535,137,712,82
1761033542017,76,95,36.48,439,303,536,99
1761033542038,70,95,36.39,32,985,97,78
1761033542058,72,95,36.18,809,223,671,98
1761033542078,61,96,36.79,846,430,671,76
1761033542098,74,99,36.44,304,614,329,98
1761033542118,95,96,37.12,574,229,962,84
1761033542139,60,99,36.1,720,359,685,56
1761033542158,65,97,36.46,36,955,137,63
1761033542178,78,98,36.21,845,856,422,71
1761033542198,91,100,36,42,606,369,71
1761033542218,65,95,36.42,877,203,415,71
1761033542237,83,96,36.28,158,942,245,76
1761033542258,69,100,36.99,46,768,685,92
1761033542278,61,99,36.08,941,379,434,58
1761033542299,77,96,36.84,783,449,305,59
1761033542318,72,96,36.86,140,505,88,96
1761033542338,98,97,36.36,418,683,963,92
1761033542358,61,97,36.34,106,162,954,53
1761033542378,77,99,36.91,102,682,738,86
1761033542398,88,96,36.58,461,870,955,77
1761033542418,73,99,36.22,163,398,0,97
1761033542438,82,99,37.13,190,197,864,82
1761033542459,84,96,36.43,840,512,966,86
1761033542477,97,97,36.9,737,698,844,83
1761033542498,80,98,36.54,624,497,89,52
1761033542517,92,97,36.44,277,693,328,55
1761033542538,78,99,36.18,806,650,819,51
1761033542558,88,96,36.18,139,982,550,81
1761033542578,63,99,36.79,758,460,654,95
1761033542598,70,97,36.47,220,75,380,80
1761033542618,89,98,36.98,650,140,578,81
1761033542638,71,99,36.67,2,513,697,83
1761033542658,71,100,36.15,27,474,409,81
1761033542678,83,96,36.77,402,551,516,75
1761033542698,96,97,36.89,229,183,287,76
1761033542718,87,97,36.84,539,799,465,92
1761033542738,68,97,36.15,79,728,657,66
1761033542758,94,99,36.43,897,971,20,81
1761033542778,73,97,36.43,452,232,470,94
1761033542798,67,99,36.46,707,979,923,82
1761033542817,67,98,37.18,66,638,488,79
1761033542838,68,98,36.07,458,529,728,82
1761033542858,100,97,36.82,730,238,108,86
1761033542878,61,96,36.67,891,688,533,91
1761033542898,85,99,36.58,32,838,178,68
1761033542918,82,99,36.58,684,765,53,78
1761033542938,89,95,36.96,827,320,319,77
1761033542958,72,95,36.04,664,298,291,96
1761033542978,60,100,36.1,958,97,745,59
1761033542998,63,99,36.26,45,571,833,80
1761033543018,97,100,37.04,202,399,861,79
1761033543038,95,97,36.73,232,640,784,56
1761033543058,95,97,36.69,255,906,865,55
1761033543078,84,95,36.98,136,817,854,90
1761033543097,100,96,37.04,555,894,19,61
1761033543118,89,100,36.34,737,138,55,63
1761033543138,74,100,36.48,123,923,843,64
1761033543158,83,99,37.09,286,445,569,83
1761033543178,76,100,36.53,649,13,886,79
1761033543198,98,99,37.04,297,314,560,52
1761033543218,86,96,36.8,940,619,436,99
1761033543239,85,97,36.21,936,444,651,51
1761033543258,62,99,36.5,87,88,50,52
1761033543278,68,95,36.29,801,392,380,94
1761033543298,79,96,36.65,91,709,415,56
1761033543317,66,96,36.96,566,154,913,63
1761033543338,60,97,36.45,580,305,98,58
1761033543358,80,98,37.03,226,867,209,61
1761033543378,68,97,36.94,983,520,114,78
1761033543398,84,97,36.53,856,434,970,94
1761033543418,94,99,36.8,217,464,633,59
1761033543438,70,96,36.62,296,549,676,73
1761033543458,71,98,36.35,200,211,437,69
1761033543478,88,98,36.45,53,449,969,90
1761033543498,91,100,36.12,711,618,443,90
1761033543518,77,100,36.11,866,520,711,61
1761033543538,77,97,36.67,499,79,97,81
1761033543558,78,97,36.42,858,42,306,99
1761033543578,82,97,37.04,764,690,656,81
1761033543597,77,100,36.66,902,913,616,85
1761033543618,76,96,36.47,292,138,158,94
1761033543637,99,98,36.86,741,566,467,93
1761033543658,66,97,36.28,702,847,341,92
1761033543678,64,97,36.24,202,912,338,70
1761033543697,89,95,37.19,172,700,153,64
1761033543718,67,98,37.01,245,671,429,88
1761033543738,93,98,36.13,125,863,194,71
1761033543758,80,96,37.12,620,890,462,78
1761033543778,96,96,36.17,140,6,891,79
1761033543797,82,99,36.93,956,839,144,85
1761033543818,76,98,36.42,492,326,890,71
1761033543838,83,100,36.36,804,328,61,60
1761033543858,97,97,36.8,327,158,839,94
1761033543878,94,96,36.21,17,309,805,80
1761033543898,63,99,36.38,3,390,485,95
1761033543918,95,95,36.3,769,216,7,65
1761033543938,91,98,36.06,465,606,986,61
1761033543958,96,99,36.57,219,261,979,66
1761033543977,95,98,36.78,778,365,522,94
1761033543998,61,99,36.26,77,909,819,80
1761033544018,85,100,36.54,906,566,80,73
1761033544038,62,99,36.83,136,151,130,69
1761033544058,78,96,36.52,719,161,874,67
1761033544078,96,99,37.08,113,501,716,60
1761033544099,75,98,36.37,703,794,667,71
1761033544118,79,96,36.84,695,961,577,55
1761033544138,99,97,36.83,490,534,335,95
1761033544158,94,100,36.84,363,313,19,84
