ts,hr,spo2,temp,red,ir,green,battery
1761033527989,76,100,36.31,216,199,118,97
1761033528008,68,98,36.63,718,945,379,69
1761033528029,96,97,36.48,720,733,150,83
1761033528049,98,96,37.04,416,637,410,88
1761033528069,89,100,36.38,573,769,193,80
1761033528089,92,97,36.12,627,374,716,96
1761033528109,89,100,36.03,208,122,379,86
1761033528129,89,98,36.66,295,179,943,58
1761033528149,73,98,37.17,413,307,629,75
1761033528169,96,97,36.72,382,882,143,63
1761033528189,87,98,37.05,34,760,590,69
1761033528209,66,99,36.16,112,759,800,74
1761033528229,78,99,36.39,300,669,75,86
1761033528249,99,98,36.59,540,337,854,59
1761033528269,89,98,36.15,541,96,582,56
1761033528289,63,95,36.7,199,366,133,50
1761033528309,86,98,36.35,173,742,689,90
1761033528329,94,97,36.71,811,52,969,88
1761033528349,83,97,36.88,628,126,253,75
1761033528369,67,100,36.01,663,355,11,51
1761033528389,82,100,36.45,766,424,461,94
1761033528409,78,99,36.88,492,324,61,63
1761033528429,92,99,36.7,515,412,957,59
1761033528449,63,97,36.14,470,881,96,90
1761033528469,70,100,36.87,325,881,809,71
1761033528489,86,100,36.73,502,740,841,58
1761033528509,97,97,36.36,14,590,370,99
1761033528528,99,96,36.49,384,870,430,82
1761033528549,97,97,36.72,686,821,267,54
1761033528569,87,95,37.02,842,815,121,78
1761033528590,64,95,37.01,686,70,969,77
1761033528609,90,99,36.06,850,698,645,93
1761033528629,94,98,37.03,835,173,77,90
1761033528649,95,99,36.71,663,708,189,83
1761033528669,99,99,36.1,480,234,302,96
1761033528689,69,97,36.84,584,830,33,95
1761033528708,74,96,36.68,982,118,715,80
1761033528729,69,99,36.4,464,174,60,60
1761033528750,72,100,36.04,670,670,507,62
1761033528769,87,97,36.84,837,438,849,52
1761033528789,82,97,36.29,670,744,847,59
1761033528809,91,96,36.33,309,161,891,80
1761033528829,92,98,36.96,60,279,1,92
1761033528849,67,99,36.66,476,652,447,55
1761033528869,99,100,36.88,560,134,364,52
1761033528889,65,95,36.48,538,592,83,83
1761033528909,70,98,36.22,343,970,513,99
1761033528929,83,99,36.63,112,664,644,65
1761033528949,60,95,36.55,997,199,684,79
1761033528969,75,96,36.4,150,238,298,67
1761033528989,73,99,36.78,457,180,908,90
1761033529009,62,96,36.77,880,556,538,83
1761033529029,88,96,36.37,793,157,10,89
1761033529049,98,96,36.96,227,163,309,62
1761033529069,87,96,36.19,559,463,89,94
1761033529089,97,97,36.12,906,29,782,91
1761033529109,96,97,37.14,28,897,496,59
1761033529129,94,99,36.28,202,782,703,54
1761033529149,83,100,36.25,914,571,469,65
1761033529169,76,95,36.02,708,251,997,64
1761033529189,67,97,37.14,453,648,983,84
1761033529209,62,98,36.33,104,606,183,57
1761033529229,86,98,36.97,651,910,797,68
1761033529249,69,95,36.38,640,126,740,68
1761033529269,70,99,36.76,99,694,214,73
1761033529289,66,98,37.15,46,654,674,91
1761033529309,80,95,37.07,907,883,38,82
1761033529329,98,99,36.17,460,829,803,50
1761033529349,62,99,36.97,3,898,408,80
1761033529368,69,97,36.04,649,390,266,67
1761033529389,84,98,36.02,229,396,188,76
1761033529408,65,99,36.68,123,700,281,73
1761033529429,68,99,37.03,542,300,195,52
1761033529449,77,99,36.65,696,536,79,81
1761033529469,86,98,36.11,254,287,547,95
1761033529488,91,96,36.27,368,866,388,56
1761033529509,92,99,37.04,536,162,441,67
1761033529529,85,98,36.08,980,635,569,67
1761033529549,64,99,37.03,776,229,23,66
1761033529568,60,99,36.18,99,386,58,99
1761033529589,93,99,36.45,891,308,225,96
1761033529609,80,98,36.04,115,744,740,50
1761033529628,97,96,36.36,379,638,662,65
1761033529649,70,97,36.27,778,431,238,97
1761033529669,88,96,36.54,31,768,135,98
1761033529689,74,99,37.05,87,203,941,68
1761033529709,87,99,36.1,583,230,820,97
1761033529729,64,95,36.2,600,43,756,54
1761033529749,96,97,36.33,762,103,919,78
1761033529770,61,98,36.19,172,759,45,56
1761033529789,74,100,36.42,874,31,884,54
1761033529809,100,99,36.22,204,258,716,55
1761033529828,98,100,36.67,768,788,71,62
