ts,hr,spo2,temp,red,ir,green,battery
1761033507329,67,100,36.17,142,55,398,53
1761033507349,61,100,36.2,107,719,334,83
1761033507369,87,99,37.18,204,967,158,99
1761033507388,70,97,36.4,968,32,282,78
1761033507408,60,96,37.12,174,241,965,78
1761033507429,62,96,36.96,31,315,154,79
1761033507449,95,99,36.4,586,753,696,85
1761033507469,72,97,36.69,517,962,820,56
1761033507489,69,100,36.78,458,430,945,88
1761033507509,81,97,36.24,987,748,95,96
1761033507529,83,98,36.28,121,774,785,64
1761033507549,93,96,36.19,694,132,31,82
1761033507569,63,97,36.78,301,652,186,66
1761033507589,88,98,37.06,772,241,313,86
1761033507610,67,97,37.19,465,442,963,68
1761033507629,92,99,36.6,816,209,788,67
1761033507649,100,98,36.87,1,192,978,80
1761033507669,64,100,36.14,865,530,348,53
1761033507690,85,99,36.2,963,515,749,72
1761033507709,78,97,36.25,513,302,986,89
1761033507729,70,96,36.18,58,287,486,52
1761033507749,98,96,36.11,489,953,865,73
1761033507769,78,99,36.87,309,936,868,61
1761033507789,93,98,36.47,509,83,206,98
1761033507809,69,98,36.2,97,853,763,53
1761033507829,70,99,36.75,61,343,483,81
1761033507849,70,100,37.19,939,336,517,55
1761033507869,65,96,36.8,839,325,679,61
1761033507889,84,96,37.2,48,835,595,86
1761033507909,76,97,36,121,513,466,70
1761033507929,93,99,36.84,352,342,858,98
1761033507950,97,100,36.74,43,233,244,67
1761033507969,95,96,36.59,661,457,835,70
1761033507989,62,99,36.2,258,958,107,89
1761033508009,78,99,36.6,152,695,724,84
1761033508029,89,98,36.82,609,938,172,57
1761033508049,68,99,36.6,955,348,683,90
1761033508069,72,95,37.04,860,640,455,91
1761033508089,82,100,36.1,942,723,409,72
1761033508109,77,100,36.65,451,989,55,77
1761033508129,78,97,36.59,559,13,893,63
1761033508149,61,95,36.28,396,439,313,73
1761033508169,84,95,36.2,653,592,873,78
1761033508189,90,99,36.86,594,630,842,90
1761033508209,72,99,36.04,603,681,333,82
1761033508229,88,100,36.63,563,879,561,85
1761033508249,72,96,36.1,441,241,383,65
1761033508269,77,100,36.29,852,591,735,99
1761033508289,69,96,36.91,608,710,828,98
1761033508309,87,98,36.75,972,305,366,74
1761033507329,68,99,36.4,423,292,716,98
1761033507349,82,97,36.52,704,40,730,72
1761033507369,86,97,36.99,529,34,300,51
1761033507388,100,98,36.49,739,855,234,86
1761033507408,86,98,37,527,364,116,58
1761033507429,69,96,36.77,609,985,407,64
1761033507449,64,99,36.83,422,699,995,60
1761033507469,92,97,36.24,199,993,728,88
1761033507489,83,95,36.5,837,320,511,83
1761033507509,85,95,37.17,230,839,661,60
1761033507529,92,99,36.22,928,549,200,77
1761033507549,89,98,36.27,711,800,471,58
1761033507569,88,99,36.84,764,404,95,89
1761033507589,84,98,37.19,303,670,830,91
1761033507609,85,97,36.12,115,337,498,72
1761033507629,82,99,36.63,621,605,798,90
1761033507649,69,97,36.29,950,274,211,71
1761033507670,72,96,36.76,539,838,473,70
1761033507689,76,97,36.87,352,383,124,51
1761033507709,95,99,36.55,703,826,266,85
1761033507729,97,97,36.22,935,340,433,82
1761033507749,69,100,36.51,529,151,558,63
1761033507769,69,96,37.02,968,783,746,51
1761033507789,94,99,36.05,110,272,251,52
1761033507809,66,98,36.19,405,30,481,86
1761033507829,93,97,36.22,433,904,347,88
1761033507849,82,98,36.08,256,884,769,73
1761033507869,71,96,36.54,113,125,284,100
1761033507889,78,97,36.94,698,140,920,96
1761033507909,77,96,36.99,402,516,892,81
1761033507929,96,99,36.42,733,294,523,71
1761033507950,65,97,36.39,487,939,715,87
1761033507969,62,96,36.31,599,261,412,80
1761033507989,76,99,36.71,347,167,131,62
1761033508009,60,96,36.14,843,762,586,92
1761033508029,66,98,36.28,827,177,940,57
1761033508049,94,95,36.08,603,45,602,89
1761033508069,95,95,36.41,113,575,708,68
1761033508089,94,98,37.07,508,529,711,79
1761033508109,92,99,36.81,417,801,43,63
1761033508129,74,99,36.35,730,828,144,64
1761033508149,78,98,36.87,54,601,850,96
1761033508169,79,99,37,926,627,644,52
1761033508189,63,96,36.23,474,520,659,59
1761033508209,69,96,36.91,293,50,384,69
1761033508230,74,99,37.03,706,311,58,95
1761033508249,61,95,36.09,336,773,797,100
1761033508269,69,98,37.05,351,827,691,97
1761033508289,65,98,36.66,568,237,644,51
1761033508312,91,98,36.24,28,195,142,97
1761033508329,79,98,36.42,929,934,250,59
1761033508349,81,95,36.39,47,560,14,78
1761033508369,85,98,37.18,818,507,246,93
1761033508389,63,99,36.52,944,24,165,100
1761033508409,85,97,36.76,885,386,122,53
1761033508429,97,96,36.14,512,908,739,69
1761033508449,84,97,36.43,778,498,617,60
1761033508469,88,98,36.29,26,860,558,79
1761033508489,78,95,36.54,532,406,518,68
1761033508509,76,100,36.63,803,859,120,63
1761033508529,81,96,36.66,933,55,824,95
1761033508550,94,95,37.14,517,945,7,73
1761033508569,84,98,36.28,777,860,179,54
1761033508589,68,100,36.74,49,751,561,69
1761033508609,99,95,37.05,135,177,94,70
1761033508629,97,98,36.05,793,977,998,85
1761033508649,74,96,37.03,728,623,438,62
1761033508669,81,96,36.08,854,781,473,64
1761033508690,65,95,36.09,898,721,648,55
1761033508709,77,97,37.03,823,561,163,79
1761033508729,84,97,36.75,590,70,410,60
1761033508749,82,96,36.53,573,463,700,56
1761033508769,84,96,36.66,635,869,925,73
1761033508788,70,98,36.69,669,388,482,97
1761033508808,86,96,36.67,456,279,516,75
1761033508829,73,97,36.73,27,565,84,84
1761033508849,97,96,37.16,27,200,4,63
1761033508869,68,98,36.16,358,777,155,68
1761033508889,73,95,36.42,421,664,212,61
1761033508910,70,100,36,974,85,36,86
1761033508929,90,96,36.1,574,996,183,93
1761033508949,62,95,36.37,32,284,437,56
1761033508969,63,97,37.18,24,956,183,90
1761033508989,72,99,36.21,491,853,191,76
1761033509010,96,96,36.57,83,378,596,61
1761033509028,70,97,36.59,268,410,818,91
1761033509049,100,96,36.51,604,186,345,74
1761033509069,83,100,36.67,55,950,755,79
1761033509089,71,96,36.39,543,542,393,94
1761033509109,88,96,36.29,244,188,485,99
1761033509129,99,95,36.6,110,284,280,62
1761033509149,82,96,36.69,687,994,563,84
1761033509169,77,99,36.76,270,501,827,63
1761033509189,93,98,37.14,125,510,937,54
1761033509209,82,95,36.42,82,591,900,97
1761033509229,79,99,36.11,404,613,724,98
1761033509248,93,98,36.35,291,973,886,81
1761033509269,80,99,36.79,733,225,221,81
1761033509288,67,95,36.32,414,367,171,70
1761033509308,67,97,36.19,767,543,418,56
1761033508329,77,97,36.06,724,914,579,54
1761033508349,78,98,36.31,924,359,198,90
1761033508369,81,95,37.18,900,549,499,97
1761033508389,89,98,36.09,875,65,848,63
1761033508409,83,100,36.78,864,88,21,73
1761033508429,90,100,36.65,985,120,877,92
1761033508449,66,99,37.19,461,327,980,98
1761033508469,80,98,36.25,970,684,288,94
1761033508489,69,97,36.31,578,458,975,75
1761033508509,100,98,36.4,959,782,376,69
1761033508529,70,97,36.54,319,592,940,90
1761033508550,91,97,36.99,582,880,868,75
1761033508569,72,97,36.86,892,850,936,60
1761033508589,85,100,36.6,59,978,824,94
1761033508609,73,98,36.57,75,897,172,61
1761033508629,68,96,36.13,929,731,787,80
1761033508649,76,98,36.74,526,148,536,64
1761033508669,70,98,36.64,147,371,923,58
1761033508689,96,100,37.11,314,424,141,89
1761033508709,95,98,36.62,882,684,35,98
1761033508729,84,97,37.14,774,527,424,52
1761033508749,65,99,37.16,320,723,369,63
1761033508769,67,100,36.12,166,901,585,95
1761033508788,78,100,36.93,96,466,618,92
1761033508809,81,98,36.8,78,956,684,97
1761033508829,73,95,36.01,58,229,389,72
1761033508849,87,96,36.91,303,300,64,61
1761033508869,99,97,36.63,860,447,76,71
1761033508889,92,96,36.19,397,369,355,74
1761033508909,100,95,36.44,638,485,425,91
1761033508929,90,98,37.14,899,655,409,68
1761033508949,91,96,36.48,449,875,255,60
1761033508969,88,96,36.62,82,457,486,53
1761033508989,79,100,36.09,746,403,490,55
1761033509009,70,98,36.16,180,638,291,87
1761033509029,92,97,36.84,381,271,83,81
1761033509049,76,99,36.68,743,677,320,90
1761033509069,79,99,36.41,561,991,81,70
1761033509089,66,98,36.52,773,331,84,73
1761033509109,87,95,36.16,263,42,727,64
1761033509129,86,98,36.83,969,557,123,60
1761033509149,71,100,36.69,101,18,928,88
1761033509169,73,96,36.21,167,89,930,99
1761033509189,64,97,36.01,544,243,13,59
1761033509209,81,97,36.56,359,491,332,60
1761033509229,80,99,36.14,522,173,800,90
1761033509249,72,97,36.1,894,224,781,65
1761033509269,73,98,36.79,793,810,726,94
1761033509289,77,99,36.51,644,574,40,97
1761033509310,74,100,37.18,429,545,341,77
1761033509329,98,95,36.47,215,136,614,83
1761033509349,93,97,37.01,482,973,435,87
1761033509369,73,99,36.81,213,6,5,74
1761033509389,73,97,36.58,381,690,585,75
1761033509408,62,96,36.78,113,338,431,99
1761033509429,72,96,36.4,553,116,908,65
1761033509449,69,99,36.8,492,302,460,87
1761033509470,94,98,36.53,760,639,267,96
1761033509489,65,99,36.79,463,966,71,73
1761033509509,87,99,37.02,268,959,266,95
1761033509529,79,99,36.13,480,639,346,59
1761033509549,83,97,36.55,955,478,244,95
1761033509568,89,99,36.17,803,298,88,66
1761033509589,84,98,36.81,151,283,34,88
1761033509609,72,95,36.68,21,269,786,66
1761033509629,98,97,37.17,397,329,590,77
1761033509649,97,95,36.34,447,841,168,61
1761033509669,91,98,36.18,21,454,212,95
1761033509689,83,100,36.41,602,997,311,55
1761033509708,69,96,37.17,159,717,921,91
1761033509729,90,96,36.6,910,516,592,80
1761033509749,71,98,36.42,560,657,802,95
1761033509769,88,98,37.03,173,86,167,71
1761033509790,65,99,36.32,132,545,129,91
1761033509809,67,99,37.12,178,731,518,72
1761033509828,79,96,36.76,841,176,662,57
1761033509849,77,97,36.55,743,385,158,93
1761033509869,83,97,36.87,736,459,703,60
1761033509889,86,100,36.25,716,180,929,93
1761033509909,60,97,36.63,345,741,762,75
1761033509929,81,98,36.48,266,375,332,57
1761033509949,87,97,36,4,939,835,71
1761033509969,80,99,37.09,393,46,972,82
1761033509989,74,99,36.17,552,518,120,82
1761033510009,78,99,37.07,766,828,854,88
1761033510029,67,100,36.46,361,633,198,70
1761033510049,78,98,36.12,288,805,324,84
1761033510069,85,95,36.62,321,658,694,88
1761033510089,76,99,37.06,756,220,534,94
1761033510109,66,97,36.29,46,59,885,94
1761033510129,60,99,36.97,710,600,931,76
1761033510149,77,97,36.87,643,172,152,68
1761033510169,67,99,36.04,320,512,226,75
1761033510189,95,98,37.2,793,798,810,90
1761033510209,70,96,36.55,257,600,606,77
1761033510229,85,95,37,984,806,623,96
1761033510249,96,95,36.35,343,706,609,84
1761033510268,85,96,36.03,829,218,199,70
1761033510288,76,97,36.4,315,770,465,77
1761033510309,91,98,36.73,72,804,199,93
1761033509329,92,98,36.94,563,181,321,55
1761033509349,72,96,37.17,593,601,124,59
1761033509369,80,100,36.38,554,991,680,98
1761033509389,60,98,36.3,71,971,44,67
