ts,hr,spo2,temp,red,ir,green,battery
1761033521541,71,96,36.19,952,526,613,66
1761033521560,65,96,36.53,604,808,498,90
1761033521581,71,97,36.28,717,887,987,62
1761033521601,64,95,36.53,694,543,498,50
1761033521621,80,98,36.8,706,957,451,99
1761033521641,82,98,37.19,580,256,834,57
1761033521661,88,99,36.75,851,996,687,68
1761033521680,81,99,36.32,442,57,936,97
1761033521701,80,98,36.44,174,225,900,56
1761033521722,74,100,37.05,942,795,972,73
1761033521741,66,98,36.56,1,652,613,65
1761033521761,97,99,36.55,288,14,174,53
1761033521781,93,99,36.3,84,660,469,78
1761033521801,87,95,36.33,451,493,618,79
1761033521821,74,98,36.96,148,27,226,75
1761033521841,79,96,36.79,320,829,122,76
1761033521861,65,98,36.84,297,157,287,62
1761033521881,64,97,36.91,640,584,588,95
1761033521901,68,97,36.75,578,758,909,86
1761033521921,62,95,36.75,705,231,919,72
1761033521941,85,95,36.35,227,207,479,100
1761033521961,64,97,36.39,295,589,579,81
1761033521981,90,100,36.4,185,445,963,88
1761033522001,68,97,36.34,332,239,295,84
1761033522021,90,100,36.57,455,995,36,88
1761033522042,92,97,36.29,798,682,196,70
1761033522061,76,97,36.92,641,524,557,69
1761033522081,78,96,36.68,139,775,838,86
1761033522101,98,99,36.57,26,641,142,60
1761033522121,71,99,36.77,323,103,725,93
1761033522140,92,100,36.38,922,767,804,77
1761033522161,74,98,36.28,487,183,679,89
1761033522182,86,99,36.72,991,897,631,88
1761033522201,70,98,36.79,654,563,140,63
1761033522221,79,99,36.01,410,902,405,69
1761033522241,73,99,36.23,419,588,60,53
1761033522261,89,96,37.12,829,556,751,57
1761033522281,90,99,36.42,880,560,996,67
1761033522301,94,99,36.55,838,215,142,54
1761033522321,90,100,37.17,462,597,655,84
1761033522341,91,99,36.74,390,383,784,91
1761033522361,79,98,36.92,233,322,637,83
1761033522381,72,97,37.09,756,135,97,66
1761033522401,77,99,37.03,336,241,312,95
1761033522421,67,98,36.39,194,955,415,94
1761033522441,81,99,36.56,167,176,930,79
1761033522461,87,98,36.69,394,965,90,56
1761033522481,75,96,36.75,936,13,572,66
1761033522501,97,99,36.08,296,203,140,86
1761033522521,75,96,37.09,500,433,172,64
1761033522540,94,100,37.18,668,674,634,71
1761033522561,83,99,37.08,947,711,588,86
1761033522581,75,99,36.64,215,710,83,57
1761033522601,86,100,36.09,274,875,245,63
1761033522621,87,96,37.13,898,946,850,86
1761033522641,63,97,36.68,87,472,834,74
1761033522660,82,99,36.14,628,77,130,58
1761033522682,96,100,36.35,542,663,541,90
1761033522701,88,95,36.72,212,446,770,78
1761033522721,62,97,36.53,963,955,943,68
1761033522740,100,98,36.81,529,4,572,87
1761033522762,76,97,36.75,397,691,330,70
1761033522781,63,97,36.71,350,488,566,80
1761033522801,70,97,36.76,380,76,916,72
1761033522821,92,98,36.2,746,258,194,62
1761033522841,97,99,36.51,600,531,717,51
1761033522861,64,97,36.51,103,638,409,80
1761033522880,76,98,36.93,803,631,774,77
1761033522901,80,98,36.12,498,868,117,91
1761033522920,92,96,36.65,804,520,54,74
1761033522941,70,100,37.03,653,981,238,70
1761033522962,73,100,37.1,542,658,65,65
1761033522981,63,96,36.71,604,883,167,76
1761033523001,81,96,37.14,420,100,683,75
1761033523021,89,95,36.78,658,231,762,84
1761033523041,76,98,36.96,733,691,651,89
1761033523061,73,97,36.48,204,391,804,76
1761033523081,97,100,36.48,555,265,328,64
1761033523101,89,97,36.1,645,296,774,68
1761033523121,64,97,36.97,235,227,694,66
1761033523141,75,98,36.03,454,77,966,51
1761033523161,79,99,36.21,950,653,76,61
1761033523181,63,95,36.3,791,27,582,71
1761033523201,70,100,36.44,631,615,501,80
1761033523221,93,96,36.28,713,674,994,84
1761033523241,72,98,36.87,405,852,707,53
1761033523261,74,97,37,92,334,597,67
1761033523281,81,99,36.72,189,397,270,63
1761033523302,71,96,36.99,152,155,235,50
1761033523320,76,96,36.32,427,681,241,58
1761033523342,68,100,36.63,498,638,978,66
1761033523361,76,99,36.84,662,828,686,51
1761033523381,61,99,37.19,553,921,119,53
1761033523401,62,95,36.83,718,160,748,78
1761033523421,83,97,36.86,396,184,355,71
1761033523441,65,97,36.92,35,184,787,76
1761033523461,96,96,36.71,618,656,871,96
1761033523481,79,100,36.02,166,925,785,91
1761033523501,72,96,36.02,239,59,850,71
1761033523521,75,100,36.52,437,94,854,95
1761033523541,92,99,36.19,237,856,41,69
1761033523561,86,98,36.41,830,749,487,53
1761033523581,90,96,36.25,913,810,846,63
1761033523601,89,99,36.9,856,596,288,89
1761033523621,67,100,36.79,859,794,99,96
1761033523641,90,97,36.46,174,106,357,85
1761033523661,76,95,36.17,548,90,730,72
1761033523681,89,97,36.44,182,17,434,59
