93701,154167,127628,21140,0,0,0,0
93721,154175,127637,21156,0,0,0,0
93741,154183,127643,21138,0,0,0,0
93773,154156,127611,21152,98,0,0,0
93781,154247,127735,21132,0,0,0,0
93801,154226,127610,21156,0,0,0,0
93821,153993,127520,21115,0,0,0,0
93841,154461,127814,21178,0,0,0,0
93861,153869,127419,21124,0,0,0,0
93881,154412,127825,21180,0,0,0,0
93901,154089,127521,21133,0,0,0,0
93921,154171,127656,21146,0,0,0,0
93941,154261,127660,21158,0,0,0,0
93961,154065,127553,21136,0,0,0,0
93981,154275,127708,21162,0,0,0,0
94001,154103,127596,21135,0,0,0,0
94021,154237,127687,21164,0,0,0,0
94041,154161,127613,21138,0,0,0,0
94061,154187,127641,21144,0,0,0,0
94081,154199,127648,21148,0,0,0,0
94101,154168,127632,21146,0,0,0,0
94121,154208,127630,21159,0,0,0,0
94141,154180,127632,21146,0,0,0,0
94161,154179,127633,21147,0,0,0,0
94181,154212,127663,21163,0,0,0,0
94201,154143,127602,21141,0,0,0,0
94221,154215,127673,21147,0,0,0,0
94241,154212,127634,21157,0,0,0,0
94261,154107,127595,21133,0,0,0,0
94281,154345,127742,21174,0,0,0,0
94301,153944,127470,21105,0,0,0,0
94321,154378,127779,21166,0,0,0,0
94341,154071,127524,21141,0,0,0,0
94361,154170,127639,21134,0,0,0,0
94381,154280,127666,21167,0,0,0,0
94401,154052,127566,21125,0,0,0,0
94421,154272,127706,21171,0,0,0,0
94441,154110,127582,21152,0,0,0,0
94461,154210,127667,21142,0,0,0,0
94481,154174,127624,21159,0,0,0,0
94501,154189,127637,21145,0,0,0,0
94521,154157,127611,21148,0,0,0,0
94541,154175,127635,21148,0,0,0,0
94561,154211,127649,21151,0,0,0,0
94581,154119,127591,21151,0,0,0,0
94601,154251,127740,21160,0,0,0,0
94621,154121,127650,21150,0,0,0,0
94641,154206,127659,21143,0,0,0,0
94661,154243,127654,21154,0,0,0,0
94681,154132,127589,21143,0,0,0,0
94701,154264,127613,21156,0,0,0,0
94721,154217,127598,21150,0,0,0,0
94741,154122,127590,21151,0,0,0,0
94761,154272,127650,21163,0,0,0,0
94781,154115,127583,21164,0,0,0,0
94801,154091,127638,21139,0,0,0,0
94821,154238,127671,21216,0,0,0,0
94841,154053,127559,21170,0,0,0,0
94861,154270,127694,21199,0,0,0,0
94881,154131,127593,21130,0,0,0,0
94901,154198,127663,21152,0,0,0,0
94921,154184,127618,21128,0,0,0,0
94941,154219,127663,21131,0,0,0,0
94961,154063,127546,21126,0,0,0,0
94981,154297,127727,21162,0,0,0,0
95001,154094,127557,21120,0,0,0,0
95021,154238,127676,21157,0,0,0,0
95041,154190,127631,21145,0,0,0,0
95061,154170,127632,21160,0,0,0,0
