ts,hr,spo2,temp,red,ir,green,battery
1761033530410,80,99,37.03,678,506,153,57
1761033530430,79,100,36.89,683,703,687,89
1761033530451,80,98,36.23,60,928,842,74
1761033530469,66,100,37.12,505,112,472,83
1761033530490,73,98,36.13,609,932,749,98
1761033530510,99,97,36.22,534,333,319,76
1761033530529,76,97,36.49,88,53,44,86
1761033530550,94,97,37.04,270,755,474,95
1761033530571,90,95,36.38,846,113,743,93
1761033530589,78,100,36.74,610,574,405,65
1761033530610,73,95,36.5,535,119,715,96
1761033530630,65,100,36.92,654,34,381,82
1761033530650,91,96,36.92,282,106,9,62
1761033530670,78,95,36.59,774,554,684,88
1761033530691,93,97,36.52,498,688,716,74
1761033530709,80,99,36.36,981,203,153,94
1761033530729,72,99,36.47,390,637,867,57
1761033530749,91,99,37.1,510,471,90,80
1761033530770,81,99,36.31,411,437,988,90
1761033530790,83,96,36.1,737,772,599,80
1761033530811,91,100,36.66,77,130,710,82
1761033530830,86,98,36.19,300,647,878,68
1761033530850,100,96,37.19,400,24,542,61
1761033530870,96,99,36.53,315,69,350,88
1761033530889,79,97,36.52,201,105,161,89
1761033530911,95,96,36.18,48,451,393,71
1761033530930,70,97,36.58,282,383,499,95
1761033530949,87,100,36.78,319,310,26,97
1761033530970,65,96,36.62,321,547,246,69
1761033530990,68,99,36.62,104,956,481,55
1761033531010,86,95,36.57,122,738,933,90
1761033531030,60,97,36.15,465,334,413,80
1761033531050,98,98,37.17,405,434,844,82
1761033531070,94,99,36.76,272,125,881,67
1761033531090,94,98,37.07,661,313,565,87
1761033531110,97,96,36.98,318,525,154,77
1761033531130,98,100,36.29,389,417,86,69
1761033531150,95,96,37.16,485,566,578,66
1761033531170,65,97,37.09,888,819,389,91
1761033531189,84,99,36.89,993,315,403,55
1761033531210,76,99,36.06,520,469,161,53
1761033531230,88,100,36.98,771,512,785,54
1761033531250,69,98,36.24,587,39,226,89
1761033531270,68,98,36.65,201,11,487,85
1761033531290,68,99,36.72,176,694,176,60
1761033531310,65,100,36.62,507,64,862,56
1761033531330,70,96,36.2,280,907,908,82
1761033531349,69,97,36.2,410,752,331,94
1761033531370,69,96,36.09,149,676,697,56
1761033531390,99,98,36.14,378,507,210,73
1761033531410,83,98,37.16,361,541,905,98
1761033531430,83,95,36.28,471,563,938,76
1761033531450,97,96,36.99,618,868,527,94
1761033531470,74,95,36.26,27,601,823,95
1761033531490,75,98,36.22,267,698,348,75
1761033531509,96,99,37.12,12,117,157,68
1761033531529,81,99,36.25,483,348,394,82
1761033531550,63,99,36.05,31,290,533,100
1761033531570,94,100,36.33,889,318,821,81
1761033531590,67,97,37.14,684,821,875,67
1761033531609,93,97,36.11,652,471,779,84
1761033531630,70,97,36.11,864,81,472,99
1761033531650,71,96,36.38,541,295,602,93
1761033531670,92,98,36.07,111,204,415,72
1761033531690,100,98,36.19,762,184,286,52
1761033531710,100,95,36.96,555,986,709,62
1761033531730,93,96,36.26,778,268,159,84
1761033531750,73,100,36.72,126,675,183,72
1761033531770,91,97,36.58,860,36,135,96
